Datacenter,SqlInstance,DatabaseName,State,RecoveryModel,LastFull,TimeSince LastFull_inDays,FullBackupSize,LastT-Log,TimeSince LastT-Log_inMins,T-LogBackupSize,LastUpdated
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088944,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ICTXSQLS01.apcust.local,master,ONLINE,SIMPLE,29-07-2022 05:00,250,0.01,,,,05-04-2023 03:03
HKDC,P062ICTXSQLS01.apcust.local,model,ONLINE,SIMPLE,29-07-2022 05:00,250,0,,,,05-04-2023 03:03
HKDC,P062ICTXSQLS01.apcust.local,msdb,ONLINE,SIMPLE,29-07-2022 05:00,250,0.03,,,,05-04-2023 03:03
HKDC,P062ICTXSQLS01.apcust.local,DBASupport,ONLINE,SIMPLE,29-07-2022 05:00,250,0,,,,05-04-2023 03:03
HKDC,P062ICTXSQLS01.apcust.local,CitrixProvisioning,ONLINE,FULL,29-07-2022 05:00,250,0.01,29-07-2022 07:15,359748,0,05-04-2023 03:03
HKDC,P062IRDPSQL01.apcust.local\IRISRDP,DBASupport,ONLINE,SIMPLE,01-04-2023 20:00,4,0.01,,,,05-04-2023 03:03
HKDC,P062IRDPSQL01.apcust.local\IRISRDP,IrisRDPTool,ONLINE,FULL,31-03-2023 20:00,5,0.2,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062IRDPSQL01.apcust.local\IRISRDP,EpiqRDP062,ONLINE,FULL,31-03-2023 20:00,5,0.01,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062IRDPSQL01.apcust.local\IRISRDP,ERDP_APAC,ONLINE,FULL,31-03-2023 20:00,5,0.01,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062RL1JSQL00.apcust.local\EDDS,AppSupportSandBox,ONLINE,FULL,31-03-2023 20:45,5,0.23,05-04-2023 18:00,3,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,DBASupport,ONLINE,SIMPLE,31-03-2023 20:03,5,0.26,,,,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,DSE_WS,ONLINE,FULL,31-03-2023 20:03,5,0,05-04-2023 18:00,3,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,DTIGlobal,ONLINE,FULL,31-03-2023 20:03,5,0.02,05-04-2023 17:50,13,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,DTIWork,ONLINE,SIMPLE,31-03-2023 20:45,5,2.34,,,,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,DTIWork1,ONLINE,SIMPLE,31-03-2023 20:45,5,1.3,,,,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,EDDS,ONLINE,FULL,31-03-2023 20:35,5,236.81,05-04-2023 17:54,9,0.02,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,EDDSArchiving,ONLINE,FULL,31-03-2023 20:35,5,1.22,05-04-2023 17:55,8,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,EDDSLogging,ONLINE,SIMPLE,31-03-2023 20:02,5,14.79,,,,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,EDDSMetrics,ONLINE,SIMPLE,31-03-2023 20:35,5,0,,,,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,EDDSPerformance,ONLINE,FULL,31-03-2023 20:35,5,0.07,05-04-2023 17:55,8,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,EDDSResource,ONLINE,FULL,31-03-2023 20:02,5,0,05-04-2023 17:55,8,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV4603843,ONLINE,FULL,31-03-2023 20:35,5,0.24,05-04-2023 17:56,7,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV4631892,ONLINE,FULL,31-03-2023 20:36,5,0.83,05-04-2023 17:56,7,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV4930610,ONLINE,FULL,31-03-2023 20:45,5,0.01,05-04-2023 17:56,7,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV4930670,ONLINE,FULL,31-03-2023 20:45,5,0.29,05-04-2023 17:56,7,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV4936455,ONLINE,FULL,31-03-2023 20:02,5,0.02,05-04-2023 17:56,7,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV4947553,ONLINE,FULL,31-03-2023 20:45,5,0.16,05-04-2023 17:56,7,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV5502396,ONLINE,FULL,31-03-2023 20:45,5,0.86,05-04-2023 17:56,7,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV5763686,ONLINE,FULL,31-03-2023 20:45,5,0.01,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV5944604,ONLINE,FULL,31-03-2023 20:45,5,0.01,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV5945226,ONLINE,FULL,31-03-2023 20:46,5,2.99,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV6495015,ONLINE,FULL,31-03-2023 20:02,5,0.01,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV6497525,ONLINE,FULL,31-03-2023 20:46,5,0.07,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV6642676,ONLINE,FULL,31-03-2023 20:46,5,0.38,05-04-2023 17:57,6,0,05-04-2023 03:04
